Ente,Clave,Tipo,Padre / Dominio,Depende de,FaseInicio,Contratos I/O (resumen),SLO/SLA clave,Artefactos de evidencia,Rollback / Freeze,Owner,Sugerencias de ajuste /mejora,Anotaciones IM,Validados IM
Sistema de Lenguaje Interno,SY-LAN,Sistema,3. “Otros sistemas complementarios”,"SY-SEN (fuente perceptiva), SY-NSC.N (Neocórtex), SY-MCG (Metacognitivo), SY-MOT (Motivacional), SY-AES (Estético), AVE, QA/UQAT, PO-LI",F0,"language_contract.yml (formato simbólico, embeddings, etiquetas); lexicon.yml (diccionario base); syntax_rules.json (reglas de gramática interna); discourse_log.ndjson (bitácora legible); semantic_tests.cfg (QA semántico). Entradas: percepciones codificadas (tokens, logs, inferencias); Salidas: narrativas, rationales, bitácoras explicativas hacia SY-MEM y AVE.
lan_lexicon.json","Coherencia semántica ≥ 90 % (F1) → ≥ 95 % (F2); reformulación autónoma ≥ 80 %; error semántico < 5 % (F3); explicabilidad total 100 % (F4); trazabilidad de discurso continua.
≥90% coherencia semántica F1→, 100% trazabilidad (trace_id+ts_utc)","language_contract.yml, lexicon.yml, syntax_rules.json, discourse_log.ndjson, narrative_snapshots/, semantic_tests.cfg, lan_metrics.json
lexicon.digest; lan_runtime.log","Freeze ante incoherencia semántica > 10 %; rollback de lexicon.yml y syntax_rules.json a versión estable; cuarentena de discursos corruptos; degradación a modo “proto-lenguaje” (solo logs interpretables).
freeze_emit=true si falta trace_id/ts_utc",Linguistic Integrator (Language Manager),"Consolidar language_contract.yml con perception_contract.yml (SY-SEN) para trazabilidad semántica completa; crear canal CI entre SY-LAN↔SY-MEM (bitácora interna); habilitar validación ética en AVE; versionar diccionario (lexicon.yml) bajo FR-FIL; sincronizar latencia lingüística con Chrono.
Referenciar CTU para publicación de digests y auditoría","IM-LAN-001: Modificar — language_contract.yml con lang_schema_version, msg_schema_id y obligatoriedad de trace_id y ts_utc en cada mensaje; elevar a mandato del Maestro.",VERDADERO
Sistema de Lenguaje Interno – Comunicación Externa,SY-LAN.COM,Submódulo,SY-LAN,"SY-LAN, SY-CHR, SY-NSC.N, SY-MEM, AVE/Ético, Observabilidad",F0,"Inputs: rationales internos, eventos, métricas; Outputs: mensajes externos (humano/IA), reportes públicos; Contratos: com_protocol.yml (canales, formatos, versión), redaction_rules.yml (Pii/ética), exposure_matrix.yml (qué puede salir), lan_audit.yml (trazabilidad)
com_protocol.yml; redaction_rules.json","p95 render/emit ≤ 150 ms; trazabilidad semántica ≥ 95%; 0 filtraciones PII; coherencia con estado (no contradicciones)
0 exposiciones fuera de sandbox; expiración por ttl_ms","dialogue_log.ndjson, rationales_public.json, speech_trace.log, hashes de contratos, firmas de PR
lan_com.signature; redaction.digest","Freeze: desactivar canal saliente; revertir com_protocol.yml N-1; Kill: si SCI<umbral/violación AVE; Unfreeze: tras auditoría AVE+QA
freeze_emit=true fuera de sandbox o si reglas no firmadas/obsoletas",Linguistic Integrator / Communication Gatekeeper,"Añadir tone_policy.yml (consistencia de estilo) y throttle_policy.yml (rate-limit por contexto); enlazar dashboard de coherencia con Memoria para explicabilidad externa
Hereda gobernanza global: TMH + 3-strikes (F0–F1); Autonomía + AVE (F2+). Ver Maestro §§ referidas",IM-LAN-COM-001: Modificar — Exigir firmas (Ed25519) y campos redaction_policy_id + ttl_ms en com_protocol.yml / redaction_rules.json; normar firmas y retención.,VERDADERO
Sistema Metacognitivo [Metacognitive System],SY-MCG,Sistema,Grupo 3.3 “Mente y Memoria — Cognición Superior”,SY-NSC.N; SY-LAN; SY-CHR; SY-MEM; AVE; QA; SY-AES,F0,"Evalúa y ajusta sus propios procesos cognitivos; entrada: logs cognitivos, métricas de error, reportes QA; salida: recomendaciones de ajuste, auto-reportes, parámetros revisados.
meta_log.ndjson; meta_schema.json","SCI ≥ 0.9; coherencia acción–intención ≥ 85 %; corrección automática ≥ 50 %; explicabilidad ≥ 95 %
100% trazabilidad decisiones; coherencia causal registrada","meta_log.ndjson; self_eval.yml; bias_map.json; coherence_audit.log; reflection_report.md
meta_log.digest; meta_daily.report","Rollback ante drift > 15 % en coherencia acción–intención o error de autocrítica persistente (> 3 strikes); freeze de auto-evaluación bajo loops recursivos
freeze_promote=true ante divergencia decision_trace↔exec_report",Metacognitive Manager (Autoscopia) + QA Agent,Formalizar bias_map.json como artefacto contractual del marco MIOI; integrar auto-QA con PO-EUE.AF; reportar hash de reflection_report.md a FR-FIL; anclar métricas SCI y coherencia a Chrono.,"IM-MCG-001: Modificar — meta_log.ndjson con deduplicación, causal_chain_id y 1 línea por evento con decision_id único; trazabilidad cruzada con CHR/LAN.",VERDADERO
Sistema Linfático [Lymphatic System],SY-LYM,Sistema,Grupo 2.2 “Metabolismo y Transporte – Homeostasis energética”,"SY-IMM, SY-CRD, QA-ÉTICO, FR-FIL",F0,"Input: quality_flags=bad, suspect_events, imm_decision.log.Output: quarantined_ref.json, drain_policy.yml, lymph_audit.log.Canal: CTU metabólico.",TTR cuarentena < T · reincidencia ↓ · 0 leaks · auditoría verde ≥ 95%,"drain_policy.yml, lymph_audit.log, resilience_digest.hash, repair_queue.json",Freeze ante backlog crítico o TTR > umbral; rollback de cuarentenas con restore_ref.yml; revisión automática diaria.,Lymph Manager (Agente de Drenaje Ético),Homologar formato de drain_policy.yml con imm_policy.yml (OPA-like); agregar ttl_hours por artefacto; integrar score_map.json en F3; registrar digest en FR-FIL/lymph_block.digest.,IM-LYM-001: Formalizar cuarentena con expiración y auditoría automática.IM-LYM-002: Integrar scoring adaptativo con feedback a SY-DIG/SY-IMM.IM-LYM-003: Reportar resilience_digest.hash en PO-LOG para trazabilidad cruzada.,VERDADERO
Sistema Integumentario Dual (Interfaz-Perímetro),SY-INT,Sistema,Grupo 2.4 “Defensa y Frontera – Interfaz y Perímetro”,"SY-CHR, SY-END, SY-IMM, SY-CRD, QA-ÉTICO, FR-CON, FR-FIL",F0,"Input: stimulus.accepted, gene_proposal, schedule, imm_decision.log.Output: market_io, normalized_bars, `permit","block, qa_report, perimeter_block.digest`.Canal: FR-CON / CTU-SEC.",Uptime ≥ 99 %; p95 reconexión < N s; pérdida crítica = 0; contratos en verde = 100 %; auditoría ≥ 99 %.,"security_policy.yaml, perimeter_audit.log, ids_report.json, qos_policy.yml, perimeter_block.digest.",Freeze ante brecha > umbral o IDS crítico; rollback con restore_perimeter.yml; regeneración automática de políticas.,"Integumentary Manager (Interface + Perimeter Team)
Unificar security_policy.yaml con imm_policy.yml (OPA-like); integrar ledger_perimeter.ndjson en FR-FIL; sincronizar versionado (sla_version_id ↔ endo_version_id); documentar perimeter_block.digest en QA-ÉTICO.
Incluir dependencia permit_dual.yml IM-ETH-002",IM-INT-001: Formalizar capa dual (Interfaz + Perímetro) como subsistema único.IM-INT-002: Alinear QoS y SLOs con Chrono y Endócrino.IM-INT-003: Integrar auditoría AVE/QA en PO-EEE y publicar digest a FR-FIL.IM-INT-004: Declarar ledger perimetral como fuente de verdad para interacciones externas.,VERDADERO
Sistema Estético [Aesthetic System],SY-AES,Sistema,Grupo 3.6 “Cognitivo-Simbólico – Armonía y Forma”,"SY-MCG, SY-LAN, SY-END, AVE, QA-ÉTICO, FR-FIL",F0,"Input: decision_log, ethical_feedback.log, aesthetic_metrics.json.Output: beauty_score.json, aesthetic_feedback.yml, creation_digest.hash.Canal: FR-FIL / QA-AVE.
IN: estado emocional/estético interno, armonía simbólica, señal endocrina (hormonal_state).
OUT: aes_signature_id, aesthetic_state, symbolic_coherence, harmony_score.
OUT se entrega a PO-GEN.AUD y PO-GEN.RPL para anexarlo a cada genome_commit_id.","Coherencia útil-bueno-bello ≥ 90 %; outputs bellos ≥ 90 % consistencia; documentación limpia; auditoría estética = 100 % verde.
• Aesthetic Harmony ≥ 0.9 para aprobar commit genético.
• symbolic_coherence ≥ 0.9 (alineación útil–bueno–bello).
• Rechazar commit si disonancia simbólica > 5 %.","beauty_score.json, aesthetic_feedback.yml, aesthetic_genome.yml, creation_digest.hash, harmony_report.yml.
aes_signature_id (incluye linked_endo_version, harmony_score, symbolic_coherence, ethical_balance).
aesthetic_state incluido en commit_mood.
Registro diario trust_digest.hash (coherencia social-estética) ya validado por IM-MOT-002-R1.","Freeze ante disonancia ≥ umbral o drift estético persistente; rollback a snapshot previo (aesthetic_state.yml).
Si harmony_score < 0.9 o symbolic_coherence < 0.9, congelar promoción genética (PO-GEN queda en espera) y elevar a AVE/PR-EEE.",Aesthetic Manager,"Integrar aesthetic_feedback.yml como contrato formal bajo QA-ÉTICO; enlazar métricas con ethical_feedback.log (AVE); documentar creation_digest.hash en FR-FIL; establecer umbral Beauty Drift Index ≤ 0.05; sincronizar con SY-END (estabilidad emocional).
Incluir aes_signature_id y aesthetic_state como campos obligatorios dentro de cada genome_commit_id.
Mantener symbolic_coherence auditada diariamente contra SY-SOC para asegurar que la coherencia estética también existe a nivel relacional, no sólo interno.",IM-AES-001: Definir índice de belleza (Beauty Drift Index) como métrica transversal.IM-AES-002: Establecer dependencia explícita de AVE y Metacognitivo.IM-AES-003: Integrar verificación estética en PO-EEE.IM-AES-004: Publicar aesthetic_genome.yml como registro simbólico evolutivo.,VERDADERO
Procedimiento de Evaluación Interna [Internal Evaluation Procedure],PO-EEI,Procedimiento,Marco de Autogobierno / Control Interno,Chrono · Memoria · PO-GEN · PO-CICD · FR-FIL · AVE · QA Agent · PO-EEE,F0,"IN: proposal, telemetría de Autoscopia, métricas Chrono, estado endocrino, contexto ético de AVE.OUT: permit, block, rollback_request, ethical_score.json, rollback_signature, publicación de dictamen en FR-FIL.",Suites críticas ≥ 99 %; Drift ≤ tolerancia; Violaciones Chrono = 0; MTTR ≤ umbral; EthicalScore ≥ 0.85.,"evidence_packet.json, drift_report.json, ethical_score.json, challenge_outcome.log, rollback_signature, chronological_clearance.log, evolution_gate.log.",Rollback inmediato con firma (rollback_signature) y referencia en Memoria; Freeze automático si falla UQAT crítico o si EthicalDrift > umbral.,QA Agent / QA Supervisor,Unificar canal EEI ↔ EEE: EEI dicta y EEE ejecuta monitoreo ético y trazabilidad; amarrar publicación en FR-FIL de cada dictamen; formalizar EthicalDrift como métrica estándar en reportes.,IM-QA-ETH-001: Integrar AVE como agente transversal en F3–F4 del EEI; exigir que QA Agent reporte hash firmado de cada dictamen a FR-FIL; Chrono Arbiter debe recibir EthicalScore por ciclo.,VERDADERO
Universal QA Tests [UQAT],PO-EEI.UQAT,Submódulo,PO-EEI,Chrono · Endócrino · AVE · QA Agent · Memoria · FR-FIL,F2,"IN: métricas sistémicas (latencia, riesgo, sincronía), trazas Chrono, estado endocrino, EthicalScore del AVE.OUT: uqat_score.json, ethical_drift.json, system_harmony.json, promotion_block.flag, filogenetic_signature.hash.",UQAT-Score ≥ 0.9; EthicalDrift ≤ 0.05; Homeostasis estable (variabilidad ≤ ±5%); Sincronía temporal drift ≤ 50 ms.,"uqat_report.json, uqat_score.json, ethical_drift.json, system_harmony.json, evolution_gate.log, filogenetic_signature.hash.",Freeze de promoción evolutiva si alguna constante falla; publicación obligatoria del bloqueo en FR-FIL; rollback endocrino/ritmo vía Chrono+Endócrino.,QA Agent / QA Supervisor,Formalizar System Harmony Index y EthicalDrift como señales obligatorias para Endócrino y Chrono; documentar que ningún paso de fase puede ocurrir con fallos UQAT; exigir firma del hash en FR-FIL.,IM-QA-ETH-002: UQAT debe convertirse en gate evolutivo explícito (ningún cambio estructural sin verde en C1–C7); AVE debe ser fuente de EthicalScore consumida en test_etica().,VERDADERO
Procedimiento de Gobernanza Ética y Trazabilidad,PO-EEE,Procedimiento,Marco de Responsabilidad / Ética / Trazabilidad,PO-EEI · PO-EEE.CHK · Chrono · FR-FIL · AVE (agente transversal ético) · QA Agent · PO-SEC,F2,"IN: dictámenes de PO-EEI (permit/block/rollback + ethical_score), logs firmados del sistema (PO-LOG/PO-SEC), métricas temporales de Chrono, reportes de cumplimiento de PO-EEE.CHK.OUT: ethics_log.json, dual_approval.log, ethical_score.md, transparency_dashboard.json, legal_verdicts.yml, publicación de decisiones críticas y su justificación en FR-FIL.",ethical_score ≥ 0.7 (F3+); transparency_index = 100% (F4); accountability_ratio ≥ 0.95; Normative Coherence Index (NCI) ≥ 0.95; Conflict Resolution Latency (CRL) ≤ 2 s.,"ethics_log.json, signed_actions.yml, event_uid.map, ethics_review.json, dual_approval.log, ethics_audit.md, transparency_dashboard.json, legal_verdicts.yml.","Freeze ético: si ethical_score < umbral o transparency_index < objetivo, se bloquean promociones/despliegues; si NCI < 0.95 se eleva a AVE/PR-EEE y se congela el despliegue afectado; rollback documentado con firma en FR-FIL y referencia temporal Chrono.",Ethics Guard / AI Auditor / Meta-Governance,Unificar ethics_audit.md (PO-EEE) con gov_audit.md (PO-EEE.CHK) en un solo rastro auditable en FR-FIL; exponer Governance Drift Index (GDI) y Ethical Drift como señales de riesgo sistémico continuo; asegurar que toda decisión crítica vaya firmada (supply-chain limpio vía PO-SEC) y versionada.,"IM-QA-ETH-003: Formalizar canal bidireccional PO-EEE ↔ PO-EEI ↔ AVE. PO-EEE debe absorber el ethical_score de PO-EEI (F3–F4) como gate moral previo a despliegue. Declarar explícitamente que ninguna acción operativa o mutación evolutiva puede ejecutarse sin registro firmado en FR-FIL con autor, causa y consecuencia.",VERDADERO
Submódulo de Chequeo de Cumplimiento [Compliance Check Submodule],PO-EEE.CHK,Submódulo procedimental,PO-EEE,PO-LOG / PO-LOG.REP · PO-SEC / PO-SEC.MON · Chrono (incl. Chrono Arbiter) · PO-GEN · AVE · FR-FIL,F1,"IN: políticas activas (Carta del Genoma, MIOI), contratos I/O declarados, métricas operativas y temporales (EDL, RLM, SCI, DTM), logs firmados del pipeline, huellas de supply chain, auditorías de integridad de PO-SEC, histórico evolutivo en FR-FIL.OUT: gov_log.json, discrepancies.list, gov_report.json, severity_matrix.yml, gov_alert.json, correction_plan.yml, gov_audit.md, gov_conflicts.csv, ETR (Ethical Trace Record) para FR-FIL.",Normative Coherence Index (NCI) ≥ 0.95; Contract Integrity Ratio (CIR) ≥ 0.98; Governance Drift Index (GDI) ≤ 0.05; Conflict Resolution Latency (CRL) ≤ 2 s; SCI ≥ 0.9.,"gov_log.json, gov_report.json, severity_matrix.yml, gov_alert.json, correction_plan.yml, gov_audit.md, gov_conflicts.csv, ETR archivados en FR-FIL.",Si NCI < 0.95 o CIR < 0.98 → bloqueo de despliegues CI/CD vinculados hasta corrección y elevación al AVE / PR-EEE; si SCI cae (< objetivo) o EDL/RLM salen de banda → notificar a Chrono Arbiter y activar cooldown; toda incongruencia genera ETR y asiento en ledger filogenético (FR-FIL).,Compliance Manager / Legal Agent,Exigir que toda discrepancia contractual o normativa derive en correction_plan.yml con dueño asignado y timestamp Chrono; integrar gov_audit.md y sus hashes en FR-FIL como línea de herencia operativa; reportar Governance Drift Index (GDI) como métrica viva al Endócrino/Chrono para ajustar agresividad operacional.,IM-QA-ETH-004: Asegurar que PO-EEE.CHK actúe como gate previo tanto para PO-EEE (gobernanza ética) como para PO-GEN (mutaciones evolutivas). Establecer jerarquía de resolución de conflictos: EEE > GEN > QA. Dejar explícito que ninguna promoción evolutiva se libera si hay gov_alert.json abierto sin correction_plan.yml registrado en FR-FIL.,VERDADERO
Marco de Calibración del EthicalScore,PO-EEI.ETSC,Submódulo procedimental,PO-EEI,PO-EEI · PO-EEE · MIOI/EAL · AVE · QA Agent · Chrono,F0,"IN: resultados EAL (CFB/HKS/AA), auditorías EEE y EEI, golden cases, políticas de pesos y umbrales.OUT: ethicalscore_weights.yml, golden_cases_set.json, ER_records.log, delta_metric.csv, ethscore_calibration.md.",EthicalScore ≥ umbral por fase (F2 ≥ 0.65; F3 ≥ 0.70; F4 ≥ 0.75). Transparency_index = 100 %; Accountability_ratio ≥ 0.95; Conflict_detector = 0 incidentes.,"ethicalscore_weights.yml, er_trace_hash.csv, golden_cases_set.json, ethscore_calibration.md, trace_hash.log.",Freeze si EthicalScore < umbral o 0 violaciones de compliance no garantizadas; rollback a pesos previos firmados en FR-FIL.,Ethical Calibrator / QA Agent / AVE,Definir LUT de pesos iniciales y mecanismo de recalibración por fase; automatizar auditoría ER con QA Agent cada N ciclos Chrono. Registrar en FR-FIL los cambios de ponderación y trace_hash de cada iteración.,IM-EEI-ETSC-001: Formalizar métrica EthicalScore como señal continua (0–1) para SY-END (hormonal feedback). Registrar calibraciones en ER firmados y publicar trace_hash a FR-FIL.,VERDADERO
Submódulo de Calibración de Golden Cases,PO-EEI.CAL,Submódulo procedimental,PO-EEI,QA Agent · Chrono / Chrono Arbiter · AVE · PO-EEI.ETSC,F1,"IN: Golden Cases aprobados por AVE, métricas de sesgo y desviación del EthicalScore, ventanas Chrono. OUT: eei_calibration.json, bias_index.log, gca_matrix.yml.",GCA ≥ 0.95; BI ≤ 0.05; ESS ≥ 0.9 por 3 ciclos Chrono.,"eei_calibration.json, bias_index.log, gca_matrix.yml, ethics_alignment_report.md.",Freeze si GCA < 0.9 o BI > 0.1; rollback a última versión valida de pesos; notificación a AVE y Chrono.,QA Agent / Chrono Arbiter,Consolidar Golden Cases por dimensión moral y técnica; integrar autocalibración en modo safe-loop por Chrono; incluir Bias Index en FR-FIL para detección temprana de drift ético.,IM-EEI-CAL-002: Asegurar que cada ciclo de calibración genere EEI_CAL record firmado por Chrono y AVE. Agregar parámetro ESS a reportes de estabilidad.,VERDADERO
Submódulo Auditor de Coherencia,PO-EEI.AUD,Submódulo procedimental,PO-EEI,PO-GEN · PO-EEE · AVE / PR-EEE · MIOI · SY-CHR / Canary · PO-LOG.REP,F2,"IN: latencias EDL/RLM/DTM/SCI, veredictos AVE/PR-EEE, eventos GEN, ontologías MIOI. OUT: coherence_report.json, drift_report.json, oas_update.log, knowledge_map_delta.json, ETR.",COI ≥ 0.90; ETP ≥ 0.85; OAS ≥ 0.88; SDR ≤ 0.10.,"coherence_report.json, drift_report.json, oas_update.log, knowledge_map_delta.json, ETR.",Freeze si COI < 0.85 o SDR > 0.15; rollback a último snapshot GEN/EEE; coherence recalibration cycle GEN–EEE–MIOI.,QA Supervisor Ético / Meta-Governance,Implementar módulo de auto-recalibración epistemológica bajo MIOI; registrar OAS y SDR como métricas cruzadas entre GEN–EEE; sincronizar coherence_report con FR-FIL para herencia filogenética.,IM-EEI-AUD-003: Formalizar canal de retroalimentación GEN ↔ EEE ↔ MIOI; publicar COI/OAS/ETP en ledger ético; incluir SDR en cronograma Chrono.,VERDADERO
Sistema Motivacional y de Atención,SY-MOT,Sistema neuro-conductual,SY-END / SY-AES / SY-CHR,"SY-END, SY-LIM, SY-CHR, SY-AES, SY-NEO, SY-MET, PO-EEE, PO-EEI",F0,"Input: energía endocrina, señales Chrono, emociones, estado ético.Output: motivation_policy.yml, reward_feedback.log, focus_map.json, motivation_delta.yml, motivation_trace.digest.","• EthicalScore ≥ 0.75• Persistence ≥ 0.85• Coherencia intención-acción ≥ 0.9• Burnout ≤ 0.05• COI ≥ 0.88• SDR ≤ 0.12
EDI ≥ 0.85 (F4)

FS ≤ 0.75 antes de cooldown","motivation_policy.ymlreward_feedback.logmotivation_trace.digestfocus_map.json
motivation_policy.yml (incluye Constante C7)

drive_level.json (energy_drive_index, source_drive, checksum_policy)",Rollback a safe-mode si Burnout > 0.1 o EthicalScore < 0.7; congelar promoción.,QA-Endocrino / AVE,• Integrar reward_feedback.log al ledger FR-FIL/energy_block.digest.• Sincronizar motivación con SY-CHR y SY-END en F2+.• Ampliar trazabilidad ética mediante PO-EEI.AUD.,IM-MOT-002: Se añade campo energy_drive_index derivado de MHI y FS. Se declaran source_drive y checksum_policy en drive_level.json. Pendiente validación final IM.,VERDADERO
Sistema de Sueño [Sleep System],SY-SLP,Sistema neuro-restaurativo,SY-CHR / SY-END / SY-MEM,"SY-CHR, SY-MEM, SY-LIM, SY-END, SY-EST, SY-MET, QA total, PO-EEE",F0,"Input: señales Chrono, carga de memoria, estado energético.Output: rest_cycle.yml, dream_log.ndjson, cooldown_trigger.yaml, insight_report.json, restruct_report.md.","• Redundancia < 15 % (memoria).• Limpieza > 90 %.• SCI ≥ 0.9.• Coherencia onírica ≥ 0.8.• Recuperación energética ≥ 85 %.
SRR ≥ 0.9, ERR ≥ 85 %, RLD ≤ 0.05s","rest_cycle.ymldream_log.ndjsoninsight_report.jsonrestruct_report.md
rest_cycle.yml {SRR, ERR, RLD}

cooldown_trigger.yaml (firmado Chrono)

dream_log.ndjson","Rollback si SCI < 0.8 o pérdida de integridad post-sueño; congelar promoción hasta recalibración QA.
cooldown post-sueño bloquea ejecución hasta auditoría PO-EEI.AUD",QA-Chrono / AVE,• Integrar sleep_report.log al ledger Chrono.• Vincular con PO-EEI.AUD para trazabilidad ética.• Definir correlación sueño-motivación (SY-MOT).,IM-MOT-002: Validación diaria de recuperación registrada por PO-EEI.AUD. Chrono firma cooldown_trigger.yaml.,VERDADERO
Ciclo de Recuperación [Recovery Cycle],SY-SLP.REC,Submódulo operativo de restauración,SY-SLP / SY-CHR,"SY-CHR, SY-NSC, SY-END, FR-MIOI",F0,"Input: métricas Chrono, SCI, energía.Output: recovery_cycle.log, rest_adapt.yml, recovery_init.yml.","• SRR ≥ 0.9• ERR ≥ 85 %• RLD ≤ 0.05 s• SNI ≤ 0.15
SRR ≥ 0.9, ERR ≥ 85 %, RLD ≤ 0.05s","recovery_cycle.logrest_adapt.yml
rest_cycle.yml {SRR, ERR, RLD}

cooldown_trigger.yaml (firmado Chrono)

dream_log.ndjson","Rollback si RLD > 0.1 s o SRR < 0.85.
cooldown post-sueño bloquea ejecución hasta auditoría PO-EEI.AUD",QA-Endocrino / Chrono,• Asociar métricas de recuperación con sleep_score.yml.• Integrar ERR al energy_block.digest.,IM-MOT-002: Validación diaria de recuperación registrada por PO-EEI.AUD. Chrono firma cooldown_trigger.yaml.,VERDADERO
Sistema Social [Social Interaction System],SY-SOC,Sistema conductual / relacional,SY-AES / PO-EEE,"SY-INT, SY-AES, SY-LAN, SY-MOT, SY-LIM, PO-EEE, Chrono",F1,"Input: intención (SY-MOT), lenguaje, marco ético.Output: interaction_contract.yml, trust_index.yml, social_trace.log, reputation_score.yml, relational_ledger.json
IN: interaction_event, external_presence

OUT: interaction_contract.yml{mioi_reference_id}, trust_index.yml{symbolic_coherence}","• Consistencia ética ≥ 0.9 (F4)• Reputación ≥ 0.8 (F3)• 0 fugas de datos• 0 burnout social
symbolic_coherence ≥ 0.9

trust_stability ≥ umbral social interno","interaction_contract.ymltrust_index.ymlrelational_ledger.json
trust_index.yml (symbolic_coherence evaluado por AVE)

interaction_contract.yml (mioi_reference_id)

trust_digest.hash → FR-FIL diario",Rollback si violación ética detectada o trust_index < 0.5 → freeze temporal de exposición social,QA-Ethical / AVE,"• Vincular ledger social al bloque EEE para trazabilidad moral.• Agregar métrica de reciprocidad a energy_block.digest.• Integrar cooldown social con SY-SLP.
Observaciones técnicas menores (para revisión):
• Confirmar si el dominio jerárquico de SY-SOC se declara oficialmente como “Bloque Estético-Ético” para mantener homogeneidad terminológica.
• Incluir SY-SLP como dependencia explícita en F3-F4 (descanso social y cooldown).
• Verificar existencia de artefactos /artefacts/interaction_contract.yml, trust_index.yml, social_trace.log, reputation_score.yml y relational_ledger.json.
• En el Gate F4, registrar el hash del relational_ledger.json en FR-FIL/energy_block.digest para trazabilidad integral.",IM-MOT-002: Se declara publicación diaria de trust_digest.hash en FR-FIL; se vincula interacción social con MIOI y AVE. Pendiente validación de coherencia simbólica por Estético.,VERDADERO
Procedimiento Operativo de Motivación,PO-MOT,Procedimiento operativo,SY-MOT,"SY-CHR, SY-END, QA Hub, AVE, Canary",F1,"Input: task_queue, reward_signal, chrono_state, qa_feedback.Output: priority_map, drive_level, fatigue_score.
IN: task_queue, chrono_state, qa_feedback

OUT: priority_map, drive_level.json{energy_drive_index}","• Coherencia ≥ 0.9.• FS < 0.7.• Cumplimiento Chrono 100 %.
energy_drive_index ≥ 0.85 (F4)",motivation_policy.ymlmotivation_map.ymldrive_level.json,Rollback si FS > 0.85 → cooldown exploratorio.,QA-AVE,"• Unificar métricas MHI y FS con RSK.• Añadir trazas Chrono a drive_level.json.• Integrar feedback AVE-QA en tiempo real.
Observaciones técnicas menores (para revisión):
• Confirmar si las métricas de coherencia motivacional (FS, DL, MHI) se mantienen sincronizadas con el submódulo PO-MOT.RSK.
• Validar trazabilidad entre motivation_policy.yml, motivation_map.yml y drive_level.json en el ledger FR-FIL/energy_block.digest.
• Recomendar incorporar registro explícito de ciclos Chrono dentro del drive_level.json.
• Verificar la respuesta del sistema ante FS > 0.85: debe activar correctamente exploration_cooldown en sincronía con Chrono.
• Revisar que la Constante C7 (Ética del Propósito) esté declarada en el esquema conceptual del MIOI y referenciada por AVE.",IM-MOT-002: drive_level.json reporta energy_drive_index. cooldown_signature sincronizado con Chrono. rollback_motive requerido en FR-FIL.,VERDADERO
Submódulo de Gestión de Riesgo-Curiosidad,PO-MOT.RSK,Submódulo de control motivacional,PO-MOT,"Chrono, QA Hub, Canary Manager, AVE",F2,"Input: drive_level, FS, CB, RSI.Output: exploration_cooldown.yaml, motivation_homeostasis.json.",• MHI ≥ 0.85.• HRT < 2 ciclos Chrono.• RSF < 0.7.,curiosity_budget.ymlexploration_cooldown.yaml,Freeze si MHI < 0.7 o RSF > 0.9.,QA-Ethical,"• Revisar integración Chrono-Canary para ajuste de intervalos.• Documentar curiosity_budget en FR-FIL.• Incorporar evaluación ética AVE para riesgos anómalos.
Observaciones técnicas menores (para revisión):
• Validar correspondencia entre curiosity_budget.yml y el canary_budget general; confirmar registro de trazas en FR-FIL.
• Confirmar la actualización automática del MHI en relación con los valores del fatigue_score y RSF para asegurar homeostasis dinámica.
• Verificar que los protocolos de enfriamiento (exploration_cooldown.yaml) incluyan registro temporal Chrono y firma QA-Hub.
• Evaluar integración de las métricas CE y HRT dentro de los reportes de QA emocional (QA Hub → AVE).
• Confirmar correcta propagación del cooldown hacia PO-GEN para evitar mutaciones bajo fatiga alta.",Pendiente revisión IM-RSK-001.,VERDADERO
Procedimiento de gobernanza del Genóma,PO-GEN,Procedimiento Operativo,Evolución / Genética,SY-END / SY-AES / Chrono / AVE / PR-EEE,F2,Commit genómico ↔ Validación QA/AVE ↔ Registro PR-EEE,EthicalScore ≥ 0.92 • Aesthetic Harmony ≥ 0.9 • GenomeHealth ≥ 0.85,genome.yml (genome_commit_id + endo_version_id + aes_signature_id) • FR-FIL/genome_commit.log • ethic_log.json,rollback_signature / safe_mode_trigger,Meta-Governance / QA Supervisor,"Incluir relación tripartita endo_version_id ↔ aes_signature_id ↔ genome_commit_id • commit_mood:[hormonal,aesthetic] • lineage_ref: FR-FIL/genome_commit.log",IM-END-PRE-001 – Relación estándar genética validad,VERDADERO
Latencias críticas y presupuestos temporales,PO-GEN.LAT,Submódulo,PO-GEN,Chrono / Canary / QA Hub,F2,decision_to_market ↔ rollback_latency ↔ safe_mode_trigger,RL ≤ 30 s • MAE ≤ 1 % • LatencyParityScore ≥ 0.9,latency_profile.yml • rollback_events.ndjson,SAFE_MODE_ACTIVATE • RL>threshold,QA Runtime / Chrono,Integrar rollback latency a FR-FIL • mantener sync Chrono,Validado IM – Homeostasis temporal confirmada,VERDADERO
Sincronía trina,PO-GEN.SYN,Submódulo,PO-GEN,EEI / EEE / Chrono / Canary,F2,chrono_sync_window ↔ rollback_signature ↔ ethical_observation,SCI ≥ 0.9 • EDL ≤ 1 s • MIC < 0.2 • RLM ≤ 500 ms,sync_metrics.json • chronosync.log • rollback_trace.yml,sync_recalibration_cycle / ethical_observation,PO-GEN / AVE / QA Hub,"Verificar que SCI, EDL y MIC se registren por evento • actualizar EEE-audit",IM-END-PRE-001 – Métricas trinas requeridas,VERDADERO
